Date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,HINDUNILVR,SBIN,BHARTIARTL,ITC,KOTAKBANK
2023-03-30,2060.24,2906.79,1693.68,1451.32,882.66,2969.06,459.89,941.62,289.08,1904.02
2023-03-31,2023.89,2918.48,1667.43,1470.32,904.92,2945.95,447.06,974.5,288.83,1923.69
2023-04-03,2049.16,2899.25,1652.33,1481.45,905.47,2902.27,451.97,972.14,280.94,1943.66
2023-04-04,2091.46,2863.16,1700.26,1463.09,908.88,2817.7,439.34,970.88,284.78,1955.44
2023-04-05,2089.83,2899.68,1695.91,1449.41,891.97,2833.32,437.02,985.67,282.35,1926.86
2023-04-06,2121.92,2863.31,1701.95,1472.24,883.99,2767.67,440.02,1011.15,285.39,1934.65
2023-04-07,2134.07,2867.24,1724.67,1465.29,879.28,2772.46,441.37,986.61,285.58,1900.9
2023-04-10,2114.06,2847.56,1738.01,1456.86,875.35,2762.34,444.32,960.47,279.06,1894.26
2023-04-11,2126.15,2868.87,1742.45,1436.42,892.44,2791.31,445.93,951.8,279.83,1924.08
2023-04-12,2175.84,2884.09,1752.51,1445.98,900.17,2779.5,454.62,960.41,289.13,1947.65
2023-04-13,2175.32,2929.84,1816.22,1491.15,885.43,2766.6,448.26,967.86,291.35,1948.68
2023-04-14,2227.03,2908.3,1815.2,1467.72,888.97,2797.8,443.84,983.68,291.19,1920.77
2023-04-17,2140.18,2897.4,1821.22,1468.69,895.88,2812.7,438.83,966.27,295.97,1939.95
2023-04-18,2167.21,2855.73,1850.47,1500.24,911.47,2826.88,444.43,932.99,296.99,1941.1
2023-04-19,2170.69,2837.55,1881.71,1498.9,933.35,2847.63,450.57,945.28,298.01,1874.12
2023-04-20,2161.61,2854.46,1915.78,1509.52,919.42,2782.89,453.75,933.82,293.22,1896.68
2023-04-21,2165.23,2887.73,1934.71,1485.92,908.51,2815.32,461.94,905.83,294.34,1896.56
2023-04-24,2101.33,2848.65,1902.12,1495.91,891.64,2842.03,453.92,908.07,299.0,1931.34
2023-04-25,2095.04,2886.66,1949.3,1492.16,888.78,2799.54,465.41,919.15,295.34,1900.19
2023-04-26,2106.89,2946.22,1916.37,1514.67,895.26,2790.13,476.18,917.74,301.74,1810.21
2023-04-27,2154.23,2965.37,1925.64,1542.1,908.79,2789.32,481.58,911.71,301.42,1818.33
2023-04-28,2138.13,3049.74,1904.43,1602.46,908.03,2784.53,494.6,909.8,297.5,1826.83
2023-05-01,2112.84,3015.26,1903.17,1616.87,903.95,2799.31,482.46,905.02,302.04,1781.05
2023-05-02,2097.57,2959.87,1913.13,1625.26,906.28,2860.25,478.81,886.99,300.83,1755.44
2023-05-03,2127.0,2881.79,1922.93,1630.49,895.2,2907.52,473.67,877.75,304.35,1828.52
2023-05-04,2138.13,2947.32,1935.68,1622.34,923.53,2851.16,478.94,884.88,303.11,1820.69
2023-05-05,2121.78,2977.13,1983.12,1631.06,901.54,2878.62,471.54,889.42,302.93,1841.2
2023-05-08,2138.75,2975.54,1997.21,1624.32,904.31,2936.87,477.04,891.93,305.26,1823.78
2023-05-09,2142.51,2988.93,1990.49,1628.91,932.03,2954.79,486.99,878.88,306.68,1767.14
2023-05-10,2174.28,2939.37,2019.87,1661.59,932.4,3004.03,492.21,876.75,297.59,1763.16
2023-05-11,2152.04,3048.09,2056.51,1637.0,930.02,3095.61,494.45,848.38,292.67,1756.66
2023-05-12,2142.11,3054.91,2019.26,1665.48,925.31,3144.07,487.27,850.91,296.84,1746.65
2023-05-15,2130.15,3060.84,2037.96,1698.88,923.08,3156.77,481.23,869.4,296.34,1744.17
2023-05-16,2084.03,3095.08,2060.01,1696.38,942.37,3207.2,490.39,850.44,294.1,1751.61
2023-05-17,2093.91,3118.34,2051.43,1642.9,911.39,3215.13,496.27,843.22,288.19,1748.19
2023-05-18,2102.74,3129.75,2094.38,1628.41,932.63,3217.25,496.13,847.64,283.61,1715.57
2023-05-19,2103.53,3093.58,2090.29,1660.58,912.99,3201.26,493.17,863.82,275.09,1728.6
2023-05-22,2096.76,3116.39,2094.85,1660.51,909.61,3277.29,478.33,858.27,274.75,1678.57
2023-05-23,2052.87,3205.3,2090.04,1636.12,904.03,3238.04,470.79,849.62,272.37,1627.45
2023-05-24,2040.53,3270.95,2091.16,1624.22,912.28,3313.44,484.43,824.78,268.5,1645.98
2023-05-25,2030.65,3350.1,2057.4,1645.19,890.68,3339.28,475.27,826.31,268.31,1658.99
2023-05-26,2006.82,3325.42,2013.58,1659.18,897.12,3270.19,476.76,851.87,269.86,1658.06
2023-05-29,2002.57,3277.05,2062.34,1653.73,924.63,3289.21,484.11,855.67,278.41,1623.85
2023-05-30,2015.31,3271.85,2036.76,1645.13,906.0,3186.59,475.14,855.64,272.18,1607.09
2023-05-31,2072.93,3275.57,2007.08,1635.96,908.85,3217.44,476.6,860.03,277.0,1601.24
2023-06-01,2078.98,3330.31,1942.85,1613.82,900.1,3261.13,483.45,860.14,281.13,1563.39
2023-06-02,2087.64,3246.76,1924.81,1653.41,906.12,3233.13,483.69,849.91,277.93,1546.53
2023-06-05,2085.94,3322.23,1887.19,1645.91,906.65,3240.09,504.65,860.66,278.86,1562.13
2023-06-06,2026.53,3315.35,1934.24,1676.45,898.2,3336.04,492.17,863.83,277.03,1596.04
2023-06-07,2026.33,3295.12,1964.12,1715.21,905.04,3311.73,500.13,864.32,277.88,1586.48
2023-06-08,2028.77,3246.08,1944.44,1741.41,929.81,3260.12,498.98,851.93,284.25,1604.96
2023-06-09,2104.34,3166.48,2010.72,1730.66,927.43,3333.55,504.91,868.84,286.92,1559.36
2023-06-12,2098.9,3206.53,2040.93,1741.66,937.72,3432.69,508.4,877.76,289.2,1575.25
2023-06-13,2109.02,3211.02,2031.6,1741.55,919.81,3433.91,502.96,870.74,287.42,1556.73
2023-06-14,2108.55,3149.85,1956.04,1718.46,906.89,3487.04,504.84,884.09,281.11,1564.37
2023-06-15,2072.22,3089.61,2023.84,1727.34,913.59,3558.25,490.92,877.76,280.32,1559.03
2023-06-16,2108.36,3074.98,1982.26,1697.31,934.2,3519.69,495.51,867.73,285.48,1590.38
2023-06-19,2132.77,3152.89,1933.93,1728.06,939.46,3495.12,497.87,858.1,279.03,1570.0
2023-06-20,2158.72,3141.56,1964.17,1716.54,935.33,3560.7,502.79,835.56,274.7,1585.25
2023-06-21,2129.92,3071.67,2036.64,1722.23,935.6,3651.77,510.92,841.72,275.3,1579.08
2023-06-22,2175.38,3061.27,2079.54,1730.06,918.33,3683.7,513.89,818.85,271.32,1575.8
2023-06-23,2130.29,3049.67,2097.75,1723.86,926.93,3636.19,515.19,804.01,268.18,1571.93
2023-06-26,2149.68,2927.22,2117.09,1739.55,939.48,3745.66,508.54,779.22,266.56,1552.46
2023-06-27,2220.96,2925.71,2144.83,1727.68,933.39,3716.95,503.26,778.45,261.18,1552.6
2023-06-28,2188.63,2916.45,2169.89,1750.78,927.09,3699.38,512.37,776.93,257.44,1551.61
2023-06-29,2170.7,2947.78,2179.69,1715.96,931.07,3719.49,523.56,773.36,260.23,1557.69
2023-06-30,2174.6,3030.42,2183.75,1719.73,925.25,3807.32,521.85,761.5,255.2,1560.13
2023-07-03,2158.83,3082.54,2182.35,1770.26,924.61,3857.23,522.37,748.34,249.16,1579.27
2023-07-04,2109.26,3071.03,2158.32,1744.23,954.01,3882.39,515.44,753.78,246.88,1601.62
2023-07-05,2112.06,3020.98,2149.88,1727.02,950.76,3910.53,524.66,747.78,249.66,1576.86
2023-07-06,2079.04,3138.5,2095.93,1740.85,945.93,3914.26,530.05,751.55,249.0,1597.88
2023-07-07,2094.43,3142.23,2093.47,1746.06,937.03,3948.2,545.64,741.8,247.34,1569.93
2023-07-10,2066.17,3143.83,2063.05,1755.77,947.77,3799.58,538.61,744.04,247.58,1584.24
2023-07-11,2114.83,3143.64,2029.52,1769.18,945.48,3783.82,535.72,758.81,241.17,1599.44
2023-07-12,2090.62,3153.92,2035.61,1786.55,936.55,3798.65,537.74,765.71,243.03,1554.06
2023-07-13,2081.15,3148.04,2078.72,1816.82,955.39,3734.21,543.12,761.2,244.5,1556.69
2023-07-14,2107.17,3121.9,2107.98,1828.53,976.02,3756.97,541.53,764.37,243.07,1546.22
2023-07-17,2068.9,3097.23,2058.95,1822.46,967.52,3746.57,534.6,761.84,246.81,1529.09
2023-07-18,2076.58,3096.64,2029.0,1841.39,940.72,3846.35,541.83,762.16,242.71,1560.53
2023-07-19,2117.92,3072.33,2058.24,1894.42,955.22,3938.26,547.85,758.67,246.89,1545.7
2023-07-20,2067.49,3040.4,2028.52,1891.22,945.7,3911.92,540.48,757.03,247.54,1527.47
2023-07-21,2073.84,3046.17,2022.29,1864.14,957.2,3904.24,551.63,759.67,246.36,1529.66
2023-07-24,2082.55,3035.43,2039.58,1895.66,929.2,3901.08,561.48,748.58,246.36,1545.85
2023-07-25,2107.6,3104.82,2010.57,1892.81,941.92,3875.82,562.78,737.4,246.04,1543.03
2023-07-26,2069.13,2982.29,2014.35,1831.69,925.09,3888.32,563.62,722.26,250.62,1570.49
2023-07-27,2028.77,3032.01,1974.65,1855.52,935.51,3845.26,568.47,705.14,246.65,1583.47
2023-07-28,2045.26,3089.59,1957.43,1841.18,935.99,3781.2,561.29,692.48,243.9,1532.21
2023-07-31,2054.98,2994.43,1967.41,1839.23,922.88,3817.65,561.71,694.34,247.76,1520.5
2023-08-01,2063.32,2979.94,1920.99,1848.94,917.52,3854.85,543.74,685.25,245.62,1508.14
2023-08-02,2074.66,2964.23,1934.26,1854.78,927.24,3809.5,551.05,690.73,249.01,1519.44
2023-08-03,2054.12,2902.54,1934.27,1875.07,928.99,3861.81,538.31,691.3,255.43,1460.07
2023-08-04,2061.89,2869.55,1950.88,1863.38,937.41,3826.38,550.61,671.09,253.97,1516.33
2023-08-07,2071.57,2822.61,1958.02,1878.28,965.48,3842.06,548.05,677.88,256.64,1528.86
2023-08-08,2049.99,2897.65,1998.67,1871.53,943.12,3890.49,546.47,686.33,252.28,1532.73
2023-08-09,2107.98,2939.19,2003.02,1892.83,966.28,3889.7,541.49,676.3,255.21,1560.36
2023-08-10,2123.59,2996.13,1990.72,1910.87,968.08,3917.4,539.31,680.77,256.05,1615.68
2023-08-11,2086.28,3029.46,1994.97,1884.63,955.32,3888.23,550.95,672.23,257.94,1637.27
2023-08-14,2107.45,2979.06,2011.83,1915.9,936.54,3877.94,530.56,673.42,255.52,1661.06
2023-08-15,2077.27,2956.52,2013.91,1901.07,934.16,3867.13,540.88,660.85,249.23,1664.81
2023-08-16,2102.42,2979.11,2015.74,1924.68,947.35,3824.98,543.78,643.27,251.19,1661.78
2023-08-17,2139.59,2925.39,1995.12,1935.86,945.82,3815.99,534.1,639.77,243.49,1650.42
2023-08-18,2113.89,2957.55,1975.88,1989.82,967.54,3728.49,525.65,638.77,242.4,1630.46
2023-08-21,2145.07,2947.78,1934.9,1983.75,946.77,3702.14,539.03,635.15,245.89,1614.15
2023-08-22,2159.0,2932.09,1986.26,1973.95,946.88,3687.43,531.55,624.06,246.67,1581.93
2023-08-23,2186.27,2964.24,1949.8,1973.97,929.38,3674.37,522.51,620.5,253.95,1580.6
2023-08-24,2249.13,2984.88,1930.12,1965.59,934.73,3662.16,531.58,623.19,257.93,1541.13
2023-08-25,2241.53,2969.61,1909.9,1989.77,947.45,3659.87,534.44,622.96,255.48,1546.01
2023-08-28,2216.86,3022.14,1936.11,1942.13,941.75,3687.29,527.08,624.85,255.66,1545.63
2023-08-29,2187.95,2974.04,1928.13,1912.02,905.24,3736.77,528.95,618.76,255.56,1549.5
2023-08-30,2161.83,3002.41,1964.8,1881.97,908.21,3701.47,520.97,629.82,249.57,1537.83
2023-08-31,2159.98,3030.02,1945.54,1909.36,914.43,3635.78,529.73,618.9,246.12,1609.27
2023-09-01,2171.68,3016.86,1954.27,1958.93,920.25,3580.04,538.32,623.61,244.12,1642.58
2023-09-04,2181.34,3032.52,1930.37,1956.45,937.58,3554.95,542.78,634.85,236.74,1612.41
2023-09-05,2209.06,2976.52,1993.06,1952.08,922.8,3537.25,545.89,639.62,236.98,1618.53
2023-09-06,2210.15,3018.67,1958.15,1954.72,932.49,3497.46,560.47,637.87,236.17,1604.25
2023-09-07,2259.0,3011.2,1967.84,1989.37,949.45,3430.51,560.64,633.01,230.31,1580.32
2023-09-08,2250.71,2988.49,1987.14,1962.29,924.4,3408.07,550.87,643.04,231.78,1549.03
2023-09-11,2343.22,3036.41,2000.07,1969.89,929.11,3418.37,554.75,629.51,234.34,1559.54
2023-09-12,2365.91,3005.24,1995.11,1999.3,922.36,3449.91,572.27,620.54,235.21,1544.07
2023-09-13,2336.2,2942.65,1991.82,2014.93,921.51,3422.1,563.73,617.03,234.14,1566.95
2023-09-14,2299.37,2874.82,1993.73,2021.26,926.59,3401.93,560.84,628.67,236.29,1590.78
2023-09-15,2316.7,2901.81,1989.93,2052.22,920.1,3355.66,564.51,632.44,238.77,1624.04
2023-09-18,2309.63,2846.95,2019.3,1969.62,911.05,3355.08,564.22,623.45,239.94,1603.76
2023-09-19,2335.06,2922.74,2086.86,1990.24,911.79,3313.39,556.08,620.74,237.04,1615.68
2023-09-20,2352.34,2832.34,2070.03,1971.31,897.19,3342.87,565.6,615.21,238.09,1631.49
2023-09-21,2350.48,2905.26,2028.12,1917.77,882.85,3254.32,585.45,608.84,242.43,1620.38
2023-09-22,2321.33,2915.33,2026.04,1933.05,892.11,3237.74,587.35,617.96,240.33,1602.11
2023-09-25,2269.28,2911.98,2105.05,1973.46,877.0,3253.33,579.56,605.43,247.97,1641.27
2023-09-26,2254.76,2889.05,2080.3,1969.98,886.03,3263.28,566.27,620.22,246.09,1647.36
2023-09-27,2284.4,2907.21,2132.07,1998.73,892.44,3396.08,568.63,628.11,246.28,1663.57
2023-09-28,2292.42,2906.44,2186.36,2047.67,869.61,3414.92,578.22,638.58,243.87,1643.56
2023-09-29,2250.27,2955.41,2168.86,2088.67,861.03,3364.51,582.51,634.34,244.76,1613.99
2023-10-02,2256.79,2961.36,2188.02,2140.68,876.71,3360.7,582.66,633.1,238.44,1600.69
2023-10-03,2270.51,2968.92,2242.12,2165.15,864.07,3272.17,577.68,619.68,236.56,1598.19
2023-10-04,2241.09,2953.62,2230.04,2168.25,858.31,3269.2,568.39,614.99,232.76,1573.16
2023-10-05,2246.93,2951.98,2223.9,2116.8,864.52,3229.33,575.68,619.73,233.3,1573.4
2023-10-06,2249.57,2966.49,2205.16,2109.62,874.94,3274.64,583.74,631.96,236.85,1534.02
2023-10-09,2211.68,2891.28,2172.26,2083.57,871.9,3248.63,570.38,621.65,239.22,1508.71
2023-10-10,2224.21,2833.68,2151.76,2152.04,864.35,3243.91,584.15,618.43,230.78,1524.35
2023-10-11,2243.59,2866.12,2112.9,2147.01,883.05,3213.96,589.36,617.21,237.92,1538.61
2023-10-12,2280.71,2874.33,2114.61,2151.62,906.35,3298.75,601.91,604.47,239.05,1530.03
2023-10-13,2317.45,2867.26,2090.82,2170.06,919.93,3283.84,589.97,610.01,236.34,1507.13
2023-10-16,2270.26,2868.91,2098.78,2172.13,921.38,3375.09,578.06,603.57,236.97,1484.36
2023-10-17,2239.0,2884.73,2050.43,2228.01,910.49,3417.32,576.94,601.98,237.67,1476.49
2023-10-18,2256.97,2862.24,2061.22,2207.87,899.42,3443.06,581.46,598.08,235.36,1491.21
2023-10-19,2275.04,2829.68,2087.61,2214.98,906.74,3463.14,597.3,591.18,236.13,1512.42
2023-10-20,2293.3,2838.84,2025.8,2190.98,912.7,3484.64,603.81,591.29,234.05,1501.61
2023-10-23,2426.52,2798.03,2037.77,2148.26,932.16,3384.93,601.79,589.56,232.7,1476.08
2023-10-24,2448.03,2816.0,2075.91,2129.19,941.53,3371.79,592.71,586.45,230.37,1482.45
2023-10-25,2490.46,2744.93,2038.87,2128.65,920.58,3415.55,603.82,580.22,225.49,1464.58
2023-10-26,2526.85,2788.13,2090.63,2115.58,935.38,3414.07,595.26,583.17,226.05,1453.63
2023-10-27,2552.3,2808.73,2104.4,2094.24,921.66,3343.13,609.98,597.81,228.1,1482.96
2023-10-30,2541.0,2820.36,2082.78,2050.69,916.63,3341.51,607.56,599.24,229.93,1501.8
2023-10-31,2570.69,2862.78,2081.66,2048.75,920.35,3427.93,622.24,608.37,232.83,1505.81
2023-11-01,2541.66,2935.16,2099.72,2003.12,948.18,3493.07,628.76,595.87,234.03,1477.53
2023-11-02,2533.39,2980.7,2102.74,2026.56,992.7,3490.87,627.66,597.46,232.23,1482.66
2023-11-03,2515.71,2899.29,2120.36,2029.67,1002.03,3541.74,622.96,587.8,235.22,1506.74
2023-11-06,2519.55,2844.51,2091.71,1985.9,999.58,3523.33,619.96,574.95,230.5,1498.7
2023-11-07,2607.78,2818.7,2097.65,1977.28,1007.89,3434.34,624.13,568.75,227.46,1529.52
2023-11-08,2535.52,2820.65,2053.8,1955.56,1021.61,3387.75,625.04,579.09,224.24,1559.64
2023-11-09,2562.38,2843.4,2050.99,1965.51,1017.0,3468.19,619.66,587.52,227.94,1599.03
2023-11-10,2501.16,2813.3,2023.8,2005.62,1044.69,3454.98,618.31,589.84,231.23,1606.83
2023-11-13,2484.2,2822.03,2002.08,1949.81,1048.61,3443.4,619.22,576.46,232.99,1621.47
2023-11-14,2525.52,2790.9,2039.8,1953.76,1056.75,3428.95,599.63,574.94,236.81,1656.35
2023-11-15,2528.71,2766.14,2073.8,1949.65,1067.62,3527.92,603.93,577.71,233.76,1667.96
2023-11-16,2488.59,2708.6,2093.37,1969.87,1074.69,3615.02,595.24,579.4,235.05,1655.92
2023-11-17,2462.64,2671.9,2059.7,1976.76,1088.54,3736.42,585.12,563.55,234.68,1645.28
2023-11-20,2488.48,2618.53,2050.54,1955.06,1078.79,3728.63,570.49,556.19,237.73,1651.66
2023-11-21,2461.96,2580.99,2088.47,1946.29,1070.08,3746.28,555.31,555.82,237.39,1620.18
2023-11-22,2470.69,2622.56,2093.54,1923.63,1052.74,3662.18,544.19,560.46,236.09,1617.18
2023-11-23,2473.12,2586.0,2167.0,1955.25,1060.0,3744.41,538.57,542.17,238.08,1644.26
2023-11-24,2449.69,2688.89,2180.43,1956.46,1072.7,3679.94,554.51,541.01,241.28,1590.71
2023-11-27,2529.2,2709.59,2187.37,2012.84,1080.39,3693.01,550.3,542.33,238.93,1627.8
2023-11-28,2554.01,2717.92,2177.88,2011.61,1107.85,3633.33,551.93,549.4,238.78,1655.69
2023-11-29,2477.19,2683.74,2182.9,1990.84,1108.09,3602.33,555.41,555.27,235.06,1644.77
2023-11-30,2484.86,2712.74,2178.56,1946.23,1119.54,3558.17,556.67,560.29,226.32,1658.67
2023-12-01,2460.94,2690.13,2202.35,1894.17,1101.54,3526.79,556.19,553.74,227.07,1659.25
2023-12-04,2493.15,2695.86,2234.62,1849.73,1095.47,3499.33,546.38,538.06,229.21,1690.36
2023-12-05,2464.26,2800.19,2208.94,1857.7,1107.23,3471.6,558.44,535.05,230.18,1715.78
2023-12-06,2460.76,2797.0,2165.49,1872.43,1121.66,3516.04,573.75,543.25,223.52,1680.26
2023-12-07,2480.14,2846.06,2106.5,1828.58,1117.05,3458.82,559.44,554.77,222.41,1695.57
2023-12-08,2513.09,2816.89,2123.18,1853.68,1116.19,3471.3,551.01,560.85,215.08,1690.85
2023-12-11,2468.6,2816.26,2088.68,1840.8,1091.11,3535.76,548.86,564.63,219.56,1693.46
2023-12-12,2456.95,2891.91,2021.86,1845.41,1085.59,3509.6,541.08,568.01,216.05,1675.47
2023-12-13,2440.18,2865.58,2034.25,1890.59,1100.41,3472.86,545.35,563.44,220.18,1719.91
2023-12-14,2417.0,2944.35,2110.93,1916.59,1110.23,3461.89,539.56,562.51,223.37,1747.26
2023-12-15,2481.73,2976.49,2111.37,1909.45,1118.9,3524.19,557.24,576.76,220.42,1728.4
2023-12-18,2497.55,2952.27,2138.56,1884.5,1120.07,3535.51,567.36,568.78,216.74,1694.32
2023-12-19,2451.06,2981.16,2141.83,1824.24,1120.52,3508.4,569.34,582.73,217.94,1685.03
2023-12-20,2485.54,3025.54,2139.3,1805.11,1109.76,3534.92,578.28,580.09,215.25,1696.52
2023-12-21,2565.41,3054.67,2169.43,1799.93,1121.73,3477.53,588.05,591.8,215.65,1703.14
2023-12-22,2605.91,2983.64,2160.63,1773.82,1129.15,3514.11,583.25,579.49,214.15,1735.66
2023-12-25,2547.3,2951.99,2169.94,1770.86,1137.82,3536.7,576.28,584.76,208.49,1756.75
2023-12-26,2529.56,2941.92,2181.06,1773.43,1129.18,3521.43,577.13,578.47,201.58,1782.83
2023-12-27,2578.39,2939.52,2159.86,1767.98,1093.05,3478.19,584.76,566.36,202.33,1792.11
2023-12-28,2551.79,2967.77,2192.65,1751.27,1111.37,3432.97,586.16,568.39,200.69,1755.3
2023-12-29,2569.54,2976.57,2187.55,1756.23,1103.72,3461.54,572.47,577.17,199.09,1750.67
